transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	6759.840000	0.147932	6.576777	6.643343	1.401495	0.040000	1.441495	115.544800
2000	13118.240000	0.152459	6.467534	6.497522	1.372442	0.040000	1.412442	114.035860
3000	19554.760000	0.153415	6.457192	6.479350	1.369529	0.040000	1.409529	113.547600
4000	25953.680000	0.154121	6.442621	6.464644	1.341748	0.040000	1.381748	113.580040
5000	32558.600000	0.153569	6.475087	6.490999	1.366077	0.040008	1.406085	113.573928
6000	39052.160000	0.153641	6.478166	6.489673	1.374490	0.040007	1.414497	113.465440
7000	45490.960000	0.153877	6.472542	6.482360	1.366909	0.040006	1.406915	113.443646
8000	52054.920000	0.153684	6.483970	6.490854	1.371945	0.040005	1.411950	113.366810
9000	58551.240000	0.153712	6.485343	6.496791	1.378804	0.040004	1.418808	113.215227
10000	64981.440000	0.153890	6.479828	6.486840	1.381581	0.040008	1.421589	112.945456
