transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	127.320000	0.007854	0.000000	6.980000	6.130909	0.040000	6.170909	76.080000
1000	8677.440000	0.115241	8.558679	8.534337	3.293676	0.040000	3.333676	83.182160
2000	17606.800000	0.113592	8.744112	8.743099	3.410314	0.040020	3.450333	82.957760
3000	26282.320000	0.114145	8.721240	8.711801	3.379934	0.040040	3.419973	83.269533
4000	34959.200000	0.114419	8.710148	8.706560	3.354793	0.040030	3.394823	83.206540
5000	43750.440000	0.114285	8.726369	8.723914	3.341689	0.040024	3.381713	83.339008
6000	52379.680000	0.114548	8.710178	8.706103	3.332198	0.040020	3.372218	83.505487
7000	61132.840000	0.114505	8.716319	8.712456	3.347233	0.040017	3.387250	83.327137
8000	69736.120000	0.114718	8.702188	8.703712	3.334437	0.040015	3.374452	83.396225
9000	78511.960000	0.114632	8.710372	8.709790	3.339176	0.040013	3.379190	83.279356
10000	87377.320000	0.114446	8.725873	8.727905	3.338121	0.040012	3.378133	83.320568
