transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	159.280000	0.006278	0.000000	7.480000	11.829091	0.040000	11.869091	77.920000
1000	6990.080000	0.143060	6.837638	6.821581	3.643277	0.040000	3.683277	81.602640
2000	13535.000000	0.147765	6.691206	6.682406	3.493512	0.040000	3.533512	81.968080
3000	20099.360000	0.149258	6.648910	6.651326	3.460173	0.040000	3.500173	82.556440
4000	26509.360000	0.150890	6.589167	6.584935	3.399262	0.040010	3.439272	82.443290
5000	33035.040000	0.151354	6.576467	6.582774	3.399928	0.040008	3.439936	82.496312
6000	39721.040000	0.151053	6.594726	6.593539	3.408994	0.040007	3.449000	82.650240
7000	46207.040000	0.151492	6.579191	6.577621	3.386516	0.040006	3.426522	82.662634
8000	52773.320000	0.151592	6.577577	6.576662	3.376074	0.040005	3.416079	82.817870
9000	59273.480000	0.151839	6.568974	6.566702	3.371898	0.040009	3.411907	82.827951
10000	65805.320000	0.151963	6.565261	6.564215	3.370990	0.040008	3.410998	82.890564
