transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	430.280000	0.002324	0.000000	353.640000	33.000000	284.920000	349.760000	79.000000
1000	106575.000000	0.009383	106.250971	106.450869	3.349461	98.056703	101.408911	80.400040
2000	212514.000000	0.009411	106.094907	106.115944	3.386800	97.718442	101.105914	80.149680
3000	318571.240000	0.009417	106.082347	106.164933	3.370890	97.773667	101.143987	80.169080
4000	421091.000000	0.009499	105.191478	105.255840	3.329468	96.900810	100.231080	80.070570
5000	531047.080000	0.009415	106.144589	106.194464	3.332677	97.827896	101.159368	80.108296
6000	642745.120000	0.009335	107.070318	107.112887	3.333318	98.732420	102.066060	80.068580
7000	748973.640000	0.009346	106.950044	106.964616	3.310524	98.614482	101.925267	80.011920
8000	861291.360000	0.009288	107.621088	107.646534	3.317891	99.289939	102.608189	79.977055
9000	974747.000000	0.009233	108.269443	108.290683	3.336099	99.897180	103.232619	80.033787
10000	1083386.440000	0.009230	108.306447	108.332144	3.315372	99.951724	103.267128	80.036460
