transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	99.320000	0.010068	0.000000	9.315556	5.972000	0.112000	6.084000	64.040000
1000	8888.960000	0.112499	8.798438	8.792752	3.436756	0.098872	3.535628	82.891200
2000	17479.120000	0.114422	8.694247	8.678788	3.314022	0.096127	3.410149	82.887460
3000	26168.400000	0.114642	8.692591	8.697126	3.349478	0.094539	3.444017	82.490787
4000	35011.520000	0.114248	8.730233	8.734398	3.347499	0.094668	3.442167	82.383030
5000	43480.880000	0.114993	8.678048	8.676368	3.319106	0.095749	3.414855	82.381488
6000	52244.560000	0.114844	8.692322	8.693247	3.302233	0.095444	3.397677	82.481227
7000	61159.960000	0.114454	8.724195	8.727034	3.318607	0.095133	3.413741	82.504006
8000	70048.160000	0.114207	8.744698	8.747661	3.324451	0.094922	3.419373	82.721425
9000	78929.120000	0.114026	8.759840	8.761670	3.330351	0.094707	3.425058	82.796471
10000	87808.120000	0.113885	8.771757	8.770596	3.333799	0.094567	3.428366	82.811432
