transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	122.000000	0.008197	0.000000	32.020000	29.960000	0.040000	30.000000	72.560000
1000	287855.360000	0.003474	288.021381	287.780000	282.522560	0.040040	282.562600	80.190400
2000	598497.920000	0.003342	299.337629	298.641417	293.334551	0.040020	293.374571	80.208340
3000	901557.320000	0.003328	300.578633	300.409730	295.148670	0.040013	295.188684	80.319653
4000	1193610.000000	0.003351	298.446612	298.381570	293.131730	0.040020	293.171750	80.290390
5000	1494383.240000	0.003346	298.912030	298.860576	293.630288	0.040016	293.670304	80.228952
6000	1809741.720000	0.003315	301.653562	301.611853	296.375600	0.040020	296.415620	80.288067
7000	2146017.720000	0.003262	306.600331	306.526411	301.287205	0.040029	301.327233	80.225760
8000	2470556.440000	0.003238	308.842910	308.774373	303.542602	0.040030	303.582632	80.258870
9000	2786491.520000	0.003230	309.631017	309.603276	304.363378	0.040027	304.403404	80.194427
10000	3088982.920000	0.003237	308.916984	308.891580	303.634149	0.040028	303.674177	80.169580
