transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	127.440000	0.007847	0.000000	9.320000	3.677143	0.040000	3.717143	74.840000
1000	5466.440000	0.182934	5.344344	5.383590	0.101951	0.040000	0.141951	81.570160
2000	10722.880000	0.186517	5.300370	5.326680	0.077158	0.040020	0.117178	82.059920
3000	16225.840000	0.184890	5.367923	5.382707	0.068869	0.040013	0.108882	82.633987
4000	21663.520000	0.184642	5.385366	5.396113	0.064803	0.040010	0.104813	83.270860
5000	27092.240000	0.184555	5.394039	5.399322	0.061889	0.040016	0.101905	83.310992
6000	32533.720000	0.184424	5.401947	5.407447	0.060076	0.040013	0.100090	83.496520
7000	37843.920000	0.184970	5.388838	5.394274	0.058948	0.040011	0.098959	83.513669
8000	43321.000000	0.184668	5.399870	5.405611	0.057974	0.040010	0.097984	83.526005
9000	48592.320000	0.185214	5.385585	5.390419	0.057238	0.040009	0.097247	83.477898
10000	53922.280000	0.185452	5.380022	5.384446	0.056551	0.040008	0.096559	83.420148
