transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	6972.160000	0.000143	0.000000	696.380000	691.204000	0.040000	691.244000	79.320000
1000	15495.880000	0.064533	8.532252	15.389622	10.095929	0.040000	10.135929	81.111360
2000	24149.800000	0.082816	8.593117	12.014455	6.677055	0.040000	6.717055	80.472120
3000	32819.920000	0.091408	8.618793	10.897767	5.572873	0.040000	5.612873	80.078973
4000	41341.720000	0.096755	8.594539	10.314030	5.019461	0.040010	5.059471	79.670980
5000	49967.400000	0.100065	8.600768	9.975112	4.689351	0.040008	4.729359	79.549496
6000	58598.920000	0.102391	8.605894	9.751598	4.456245	0.040007	4.496252	79.569787
7000	66964.800000	0.104533	8.571602	9.550476	4.274101	0.040011	4.314112	79.417931
8000	75566.880000	0.105866	8.575412	9.434815	4.162722	0.040015	4.202737	79.437205
9000	84159.280000	0.106940	8.577300	9.342529	4.069036	0.040022	4.109059	79.404760
10000	92493.600000	0.108116	8.552999	9.241575	3.978491	0.040020	4.018511	79.606184
