transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	169.840000	0.005888	0.000000	12.772308	7.168571	0.040000	7.208571	103.560000
1000	9032.720000	0.110709	8.871752	8.936554	3.299308	0.040000	3.339308	91.045440
2000	18093.160000	0.110539	8.966143	9.003464	3.281512	0.040000	3.321512	91.745360
3000	27111.080000	0.110656	8.983408	9.008933	3.297674	0.040000	3.337674	91.562387
4000	36087.960000	0.110840	8.981775	9.002605	3.288305	0.040000	3.328305	91.450200
5000	44859.960000	0.111458	8.939812	8.957077	3.263278	0.040008	3.303286	90.991872
6000	53839.800000	0.111442	8.946484	8.961698	3.262317	0.040013	3.302330	91.092420
7000	62804.600000	0.111457	8.949101	8.957050	3.262371	0.040011	3.302382	90.963406
8000	71611.040000	0.111715	8.931266	8.942263	3.251049	0.040010	3.291059	90.913305
9000	80293.400000	0.112089	8.903607	8.911945	3.236794	0.040013	3.276808	90.806667
10000	89453.560000	0.111790	8.929265	8.935219	3.247735	0.040016	3.287751	90.890096
