transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	569.000000	0.001757	0.000000	37.634667	15.745000	0.040000	15.785000	529.680000
1000	75669.400000	0.013215	75.175576	74.399882	25.591465	0.040000	25.631465	1270.874840
2000	150148.880000	0.013320	74.827354	74.440357	25.083472	0.040000	25.123472	1270.443060
3000	223047.800000	0.013450	74.184328	73.893669	25.392644	0.040000	25.432644	1254.463147
4000	296641.920000	0.013484	74.036739	73.850817	25.564343	0.040000	25.604343	1252.028890
5000	368321.360000	0.013575	73.565185	73.399880	25.246857	0.040008	25.286865	1249.948336
6000	442425.560000	0.013562	73.655036	73.537859	25.636749	0.040007	25.676755	1248.774513
7000	516102.320000	0.013563	73.658140	73.548335	25.560063	0.040006	25.600068	1250.976520
8000	590570.360000	0.013546	73.759390	73.681827	25.466915	0.040010	25.506925	1254.932680
9000	665266.120000	0.013528	73.863443	73.763407	25.660428	0.040009	25.700437	1254.508653
10000	737126.480000	0.013566	73.663114	73.598159	25.633742	0.040008	25.673750	1251.418612
