transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	833.160000	0.001200	0.000000	34.702609	5.800000	0.040000	5.840000	762.960000
1000	34561.760000	0.028934	33.762362	33.806888	3.188348	0.040000	3.228348	765.550520
2000	69649.160000	0.028715	34.425213	34.419693	3.125836	0.040000	3.165836	784.813760
3000	104752.240000	0.028639	34.651244	34.676053	3.141490	0.040000	3.181490	786.632560
4000	138727.160000	0.028834	34.482121	34.483172	3.147283	0.040000	3.187283	782.491690
5000	172462.080000	0.028992	34.332651	34.367605	3.127197	0.040016	3.167213	780.109584
6000	206521.520000	0.029053	34.287108	34.292680	3.107202	0.040020	3.147222	778.530487
7000	241261.200000	0.029014	34.351770	34.348955	3.101677	0.040017	3.141694	779.421103
8000	275326.480000	0.029056	34.315954	34.322249	3.097641	0.040020	3.137661	779.700840
9000	309570.480000	0.029073	34.307959	34.310313	3.096580	0.040018	3.136598	779.713084
10000	343590.880000	0.029104	34.279200	34.281756	3.085667	0.040016	3.125683	779.104032
