transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	114.160000	0.008760	0.000000	14.045000	8.595000	0.040000	8.635000	72.320000
1000	7993.120000	0.125108	7.886847	7.914291	3.113703	0.040000	3.153703	68.172720
2000	15949.000000	0.125400	7.921381	7.943817	3.083406	0.040000	3.123406	67.454000
3000	23887.800000	0.125587	7.927189	7.939654	3.089598	0.040000	3.129598	67.198920
4000	31792.280000	0.125817	7.921510	7.936699	3.075627	0.040010	3.115637	67.188480
5000	39659.680000	0.126073	7.910686	7.921542	3.090404	0.040008	3.130412	66.977480
6000	47724.840000	0.125721	7.936436	7.944629	3.099207	0.040007	3.139214	66.995560
7000	55537.880000	0.126040	7.918806	7.924281	3.102608	0.040006	3.142614	66.995777
8000	63597.920000	0.125790	7.936462	7.941244	3.101898	0.040005	3.141903	66.990405
9000	71316.040000	0.126199	7.912199	7.918916	3.097264	0.040009	3.137273	66.969862
10000	79331.880000	0.126053	7.922564	7.924903	3.102060	0.040008	3.142068	66.977648
