transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	6690.960000	0.149455	6.522162	6.515984	1.456739	0.040000	1.496739	112.608640
2000	13157.960000	0.151999	6.494567	6.491250	1.423786	0.040020	1.463806	112.728300
3000	19533.320000	0.153584	6.454818	6.456656	1.395544	0.040013	1.435557	113.089720
4000	25978.360000	0.153974	6.452373	6.454792	1.387427	0.040010	1.427437	112.967550
5000	32417.720000	0.154237	6.449770	6.447783	1.383802	0.040016	1.423818	112.835768
6000	38833.920000	0.154504	6.444174	6.443684	1.379857	0.040013	1.419870	112.601160
7000	45455.240000	0.153998	6.469484	6.467904	1.385705	0.040011	1.425717	112.704709
8000	52067.200000	0.153648	6.487296	6.487107	1.393978	0.040010	1.433988	112.826605
9000	58449.600000	0.153979	6.475640	6.475758	1.390210	0.040009	1.430218	112.633444
10000	65000.440000	0.153845	6.483160	6.483915	1.388941	0.040008	1.428949	112.799508
