transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	43042.920000	0.023233	42.997317	42.903393	1.031067	0.040000	1.071067	75.128480
2000	88371.800000	0.022632	44.163682	44.168344	0.999140	0.040000	1.039140	75.188960
3000	132259.080000	0.022683	44.071517	44.060566	0.984104	0.040013	1.024117	75.229347
4000	175955.080000	0.022733	43.977614	43.978565	0.981190	0.040010	1.021200	75.236990
5000	220576.200000	0.022668	44.106341	44.097037	0.974290	0.040008	1.014298	75.248200
6000	266681.240000	0.022499	44.439513	44.437360	0.973351	0.040007	1.013358	75.186520
7000	309807.800000	0.022595	44.251922	44.243165	0.971957	0.040011	1.011968	75.175211
8000	353332.000000	0.022642	44.160945	44.159360	0.973048	0.040015	1.013063	75.192305
9000	398874.280000	0.022564	44.314444	44.312436	0.974770	0.040013	1.014783	75.196289
10000	442227.120000	0.022613	44.218274	44.211966	0.978287	0.040012	1.018299	75.227936
