transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	23767.200000	0.042075	23.687568	23.614756	0.093865	0.040000	0.133865	56.027600
2000	45751.800000	0.043714	22.835658	22.834523	0.095425	0.040000	0.135425	55.936440
3000	67290.840000	0.044583	22.403308	22.410867	0.093862	0.040000	0.133862	55.938720
4000	88912.600000	0.044988	22.207872	22.203070	0.093267	0.040000	0.133267	55.925940
5000	111633.240000	0.044790	22.310446	22.300344	0.092856	0.040000	0.132856	55.798656
6000	133844.200000	0.044828	22.293862	22.293916	0.093713	0.040013	0.133727	55.777107
7000	156396.840000	0.044758	22.330836	22.329109	0.094204	0.040011	0.134215	55.774063
8000	178509.000000	0.044816	22.303498	22.306420	0.094553	0.040010	0.134563	55.725425
9000	201363.760000	0.044695	22.364756	22.360404	0.094795	0.040013	0.134808	55.751542
10000	223422.200000	0.044758	22.334121	22.332072	0.095010	0.040012	0.135022	55.744776
