transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	54939.120000	0.018202	54.915996	54.761954	41.765145	0.040040	41.805184	74.595600
2000	109304.760000	0.018297	54.640680	54.618951	41.605537	0.040020	41.645557	74.671260
3000	161946.680000	0.018525	53.974205	53.952882	41.059034	0.040013	41.099047	74.499947
4000	215800.440000	0.018536	53.944086	53.935410	41.023470	0.040010	41.063480	74.570450
5000	266629.120000	0.018753	53.320880	53.306923	40.352483	0.040008	40.392491	74.579984
6000	320690.120000	0.018710	53.444254	53.438367	40.463067	0.040020	40.503087	74.587613
7000	372329.920000	0.018801	53.186438	53.176295	40.187979	0.040017	40.227996	74.618240
8000	424162.120000	0.018861	53.017137	53.006974	40.007829	0.040015	40.047844	74.600645
9000	476584.480000	0.018884	52.951043	52.945322	39.891368	0.040013	39.931381	74.622076
10000	526577.560000	0.018991	52.655218	52.649131	39.632401	0.040012	39.672413	74.629728
