transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	103237.000000	0.009686	103.277518	103.001916	100.896407	0.040000	100.936407	55.061960
2000	204912.080000	0.009760	102.475898	102.381669	100.284078	0.040000	100.324078	54.968400
3000	306275.560000	0.009795	102.104968	102.075760	99.967760	0.040000	100.007760	55.029013
4000	408717.720000	0.009787	102.189287	102.166400	100.068670	0.040000	100.108670	55.060560
5000	509632.920000	0.009811	101.934419	101.915080	99.816328	0.040000	99.856328	55.111192
6000	610716.840000	0.009825	101.792645	101.777587	99.681693	0.040007	99.721700	55.179593
7000	709254.120000	0.009870	101.327527	101.314846	99.225160	0.040006	99.265166	55.180886
8000	807176.680000	0.009911	100.901853	100.890875	98.807280	0.040005	98.847285	55.178275
9000	905690.640000	0.009937	100.636502	100.608340	98.525341	0.040004	98.565345	55.175596
10000	1007769.120000	0.009923	100.780714	100.771876	98.689684	0.040004	98.729688	55.153804
