transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	4137.840000	0.241672	4.055776	4.050421	0.087632	0.040078	0.127710	82.132000
2000	8169.160000	0.244823	4.043542	4.045709	0.090362	0.040040	0.130401	82.218340
3000	12220.040000	0.245498	4.045989	4.044343	0.092601	0.040026	0.132627	82.210067
4000	16242.200000	0.246272	4.040030	4.043177	0.093781	0.040020	0.133801	82.221530
5000	20340.120000	0.245820	4.051610	4.052114	0.094175	0.040016	0.134191	82.129688
6000	24452.000000	0.245379	4.061657	4.061997	0.094764	0.040013	0.134777	82.435140
7000	28563.880000	0.245065	4.068833	4.069608	0.095121	0.040011	0.135133	82.455383
8000	32698.120000	0.244662	4.077010	4.077845	0.094870	0.040010	0.134880	82.410130
9000	36807.680000	0.244514	4.080627	4.080758	0.094678	0.040013	0.134692	82.368827
10000	40951.480000	0.244191	4.086945	4.086227	0.094740	0.040012	0.134752	82.357240
