transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	6480.560000	0.154308	6.432713	6.402690	3.880673	0.040040	3.920712	55.927560
2000	12732.800000	0.157075	6.342431	6.348982	3.838024	0.040020	3.878044	55.975660
3000	19156.840000	0.156602	6.369643	6.360213	3.850279	0.040040	3.890319	55.938253
4000	25817.560000	0.154933	6.442431	6.440848	3.934557	0.040040	3.974597	55.803920
5000	32330.640000	0.154652	6.456563	6.455088	3.952022	0.040040	3.992062	55.716552
6000	38802.000000	0.154631	6.459030	6.461089	3.957642	0.040033	3.997675	55.674860
7000	45078.400000	0.155285	6.432936	6.429131	3.930810	0.040040	3.970850	55.718406
8000	51821.360000	0.154376	6.471694	6.469418	3.962512	0.040035	4.002547	55.818365
9000	58145.480000	0.154784	6.455295	6.454022	3.952847	0.040031	3.992878	55.774436
10000	64581.360000	0.154843	6.453353	6.453929	3.946644	0.040028	3.986672	55.870900
