transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	149016.840000	0.006711	149.003163	148.694411	145.521677	0.040000	145.561677	72.925440
2000	289137.080000	0.006917	144.559480	144.536840	141.359760	0.040020	141.399780	72.770880
3000	429841.800000	0.006979	143.274131	143.256533	140.061440	0.040027	140.101467	72.839160
4000	575313.920000	0.006953	143.823766	143.812110	140.590610	0.040020	140.630630	72.970360
5000	728663.320000	0.006862	145.729274	145.719832	142.509968	0.040016	142.549984	72.890152
6000	872163.280000	0.006879	145.357660	145.332411	142.121446	0.040013	142.161460	72.877993
7000	1021488.600000	0.006853	145.924549	145.899020	142.687885	0.040011	142.727896	72.859291
8000	1159614.760000	0.006899	144.949629	144.931324	141.719855	0.040010	141.759865	72.841735
9000	1308337.880000	0.006879	145.368952	145.363693	142.149324	0.040013	142.189338	72.867342
10000	1450208.640000	0.006896	145.019098	145.012984	141.796748	0.040012	141.836760	72.897196
