transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	3325.920000	0.300669	3.183744	3.249580	0.156914	0.040117	0.197031	80.605320
2000	6673.960000	0.299672	3.265933	3.296364	0.129422	0.040059	0.169481	82.486900
3000	9917.960000	0.302482	3.258620	3.278360	0.118017	0.040040	0.158057	82.375240
4000	13186.920000	0.303331	3.261205	3.276441	0.111970	0.040040	0.152010	82.467970
5000	16471.640000	0.303552	3.265909	3.278997	0.109283	0.040040	0.149323	82.508280
6000	19717.160000	0.304303	3.262510	3.273399	0.106833	0.040033	0.146866	82.425453
7000	22975.120000	0.304677	3.261860	3.270661	0.106295	0.040028	0.146323	82.425371
8000	26233.640000	0.304952	3.261443	3.269505	0.106162	0.040025	0.146186	82.328885
9000	29448.440000	0.305619	3.256260	3.263442	0.104282	0.040022	0.144304	82.206422
10000	32693.920000	0.305867	3.255182	3.261377	0.103234	0.040020	0.143254	82.176936
