transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	7275.880000	0.137440	7.133373	7.131109	0.937591	0.040039	0.977630	146.892960
2000	14647.640000	0.136541	7.252626	7.263294	0.964125	0.040040	1.004165	148.708800
3000	22627.000000	0.132585	7.494952	7.495427	0.968914	0.040026	1.008940	153.021280
4000	30332.000000	0.131874	7.547477	7.549286	0.973705	0.040020	1.013725	153.713890
5000	37829.840000	0.132171	7.537548	7.537832	0.974932	0.040024	1.014956	153.493160
6000	45548.200000	0.131729	7.567688	7.567367	0.968528	0.040027	1.008554	154.410627
7000	53596.080000	0.130607	7.636297	7.636591	0.971153	0.040023	1.011175	155.559149
8000	61153.880000	0.130818	7.626483	7.627690	0.970337	0.040020	1.010357	155.407885
9000	68678.960000	0.131045	7.615215	7.616925	0.966791	0.040022	1.006813	154.958929
10000	75864.280000	0.131814	7.572221	7.572262	0.964547	0.040020	1.004567	154.279812
