transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	9270.760000	0.107866	9.141181	9.108346	0.947768	0.040000	0.987768	121.745160
2000	18266.040000	0.109493	9.068194	9.069940	0.993184	0.040000	1.033184	122.839500
3000	27298.720000	0.109895	9.056352	9.067743	0.993103	0.040000	1.033103	122.824440
4000	36425.560000	0.109813	9.073978	9.080419	0.997606	0.040000	1.037606	121.907640
5000	45926.480000	0.108870	9.159384	9.161780	1.000008	0.040000	1.040008	121.953888
6000	54972.400000	0.109146	9.140470	9.138404	0.998544	0.040000	1.038544	121.380147
7000	64162.440000	0.109098	9.147553	9.152711	0.997888	0.040000	1.037888	121.788823
8000	73378.440000	0.109024	9.156110	9.154440	0.992913	0.040000	1.032913	121.408765
9000	82675.520000	0.108859	9.171775	9.173446	0.991264	0.040000	1.031264	121.771271
10000	91587.120000	0.109186	9.145755	9.147190	0.988981	0.040004	1.028985	121.623576
