transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	24655.800000	0.040558	24.532613	24.544382	19.501514	0.040040	19.541554	110.372520
2000	49695.560000	0.040245	24.786313	24.784738	19.684868	0.040020	19.724888	110.579420
3000	75388.240000	0.039794	25.088536	25.096370	19.987683	0.040027	20.027710	110.986240
4000	100112.320000	0.039955	24.997399	24.999111	19.920619	0.040030	19.960649	110.926080
5000	125157.920000	0.039950	25.007041	25.014815	19.941263	0.040024	19.981287	110.815784
6000	150571.120000	0.039848	25.074746	25.080167	20.014473	0.040027	20.054499	110.740480
7000	176213.480000	0.039725	25.155845	25.159343	20.055999	0.040029	20.096027	110.887149
8000	201393.360000	0.039723	25.158850	25.155657	20.045237	0.040025	20.085262	110.970150
9000	226887.000000	0.039667	25.196053	25.190531	20.095492	0.040022	20.135514	110.756840
10000	251496.960000	0.039762	25.137438	25.141893	20.050169	0.040020	20.090189	110.718340
