transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	7537.800000	0.132665	7.388228	7.431321	2.566266	0.040000	2.606266	120.391880
2000	14642.360000	0.136590	7.246323	7.268322	2.493340	0.040020	2.533360	118.324540
3000	21835.120000	0.137393	7.228463	7.238342	2.457546	0.040013	2.497560	118.344533
4000	29200.360000	0.136985	7.262666	7.265694	2.478826	0.040010	2.518836	119.234290
5000	36386.960000	0.137412	7.247449	7.258392	2.474646	0.040024	2.514670	119.091744
6000	43564.200000	0.137728	7.235746	7.242035	2.448703	0.040020	2.488723	119.332973
7000	50541.520000	0.138500	7.198823	7.204368	2.409642	0.040023	2.449665	118.831543
8000	57805.440000	0.138395	7.206961	7.212724	2.419211	0.040020	2.459231	119.439995
9000	64863.680000	0.138753	7.190434	7.193062	2.403832	0.040018	2.443850	119.258969
10000	72319.440000	0.138275	7.216970	7.219315	2.405933	0.040016	2.445949	119.985224
