transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	44023.920000	0.022715	43.993113	43.927066	40.243713	0.040120	40.283832	73.588280
2000	87825.360000	0.022772	43.897229	43.874480	40.197080	0.040060	40.237140	73.627960
3000	131931.600000	0.022739	43.966922	43.928365	40.230436	0.040040	40.270476	73.574453
4000	176812.880000	0.022623	44.195569	44.158252	40.469231	0.040040	40.509271	73.408080
5000	221103.600000	0.022614	44.214603	44.205255	40.511010	0.040032	40.551042	73.461192
6000	265295.520000	0.022616	44.210822	44.197474	40.518554	0.040027	40.558580	73.446527
7000	311209.120000	0.022493	44.454111	44.443131	40.752059	0.040023	40.792082	73.438417
8000	352861.960000	0.022672	44.103908	44.091867	40.404814	0.040025	40.444839	73.397910
9000	397216.640000	0.022658	44.131775	44.119067	40.429473	0.040027	40.469500	73.436751
10000	440238.480000	0.022715	44.020770	44.017862	40.326527	0.040028	40.366555	73.460116
