transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	13169.080000	0.075935	13.061141	13.099423	9.681075	0.040000	9.721075	67.876720
2000	26392.640000	0.075779	13.142391	13.151800	9.730873	0.040000	9.770873	67.522660
3000	39629.040000	0.075702	13.173738	13.183987	9.780665	0.040000	9.820665	67.070373
4000	53232.240000	0.075142	13.281130	13.290612	9.887013	0.040000	9.927013	67.044400
5000	66423.560000	0.075274	13.263165	13.260244	9.847578	0.040000	9.887578	67.110560
6000	79415.120000	0.075552	13.217890	13.224646	9.817579	0.040000	9.857579	67.081413
7000	92835.240000	0.075402	13.246784	13.254420	9.846676	0.040000	9.886676	67.139657
8000	106564.800000	0.075072	13.307138	13.309323	9.906980	0.040000	9.946980	67.167885
9000	120108.400000	0.074932	13.333415	13.335230	9.919742	0.040000	9.959742	67.195747
10000	133335.600000	0.074999	13.322792	13.327954	9.914318	0.040000	9.954318	67.222388
