transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	45763.240000	0.021852	45.687768	45.591657	0.382851	0.040040	0.422891	121.032920
2000	91259.880000	0.021915	45.592156	45.584768	0.400000	0.040020	0.440020	120.242240
3000	135762.400000	0.022097	45.228823	45.215203	0.397682	0.040013	0.437696	120.452080
4000	181836.560000	0.021998	45.440210	45.435300	0.392602	0.040010	0.432612	120.555470
5000	226129.840000	0.022111	45.210778	45.198016	0.388629	0.040016	0.428645	120.694616
6000	269840.400000	0.022235	44.960700	44.953261	0.391416	0.040013	0.431430	120.427853
7000	312928.120000	0.022369	44.693093	44.693876	0.389811	0.040017	0.429829	120.269257
8000	359744.360000	0.022238	44.958520	44.958920	0.388900	0.040020	0.428920	119.986695
9000	403260.560000	0.022318	44.798244	44.789035	0.387792	0.040018	0.427810	119.972920
10000	447478.040000	0.022347	44.740162	44.729236	0.388058	0.040016	0.428074	120.015632
