transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	23805.680000	0.042007	23.746226	23.743480	0.999960	0.040000	1.039960	78.058960
2000	47522.600000	0.042085	23.731566	23.743680	0.988052	0.040000	1.028052	77.439060
3000	71140.080000	0.042170	23.693525	23.681319	0.984998	0.040000	1.024998	77.481400
4000	94919.200000	0.042141	23.714929	23.713403	0.988641	0.040000	1.028641	77.549610
5000	119102.240000	0.041981	23.808570	23.812701	0.980979	0.040000	1.020979	77.472784
6000	142848.840000	0.042002	23.798240	23.794495	0.979334	0.040000	1.019334	77.523447
7000	167372.520000	0.041823	23.901889	23.903214	0.974468	0.040011	1.014480	77.568234
8000	190162.880000	0.042069	23.762930	23.767095	0.974731	0.040010	1.014741	77.629510
9000	214379.440000	0.041982	23.813339	23.815147	0.971500	0.040013	1.011513	77.634049
10000	237342.640000	0.042133	23.728317	23.729939	0.971776	0.040012	1.011788	77.575824
