transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	40124.840000	0.024922	40.018098	40.073720	28.273880	0.040000	28.313880	44.899080
2000	78718.560000	0.025407	39.305553	39.316502	27.810450	0.040020	27.850470	44.905320
3000	121312.520000	0.024730	40.402054	40.418320	28.703339	0.040013	28.743352	44.938040
4000	163156.160000	0.024516	40.762541	40.780545	29.003100	0.040020	29.043120	44.901870
5000	201920.680000	0.024762	40.362857	40.378168	28.616981	0.040016	28.656997	44.943168
6000	243706.280000	0.024620	40.600020	40.614767	28.812127	0.040013	28.852140	44.919793
7000	285660.360000	0.024505	40.793485	40.804760	28.968320	0.040011	29.008331	44.896891
8000	326566.920000	0.024497	40.807621	40.811004	28.964504	0.040010	29.004514	44.941120
9000	367640.200000	0.024480	40.837142	40.833007	29.042048	0.040013	29.082062	44.926689
10000	405694.720000	0.024649	40.558852	40.551387	28.838413	0.040012	28.878425	44.928948
