transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	4773.640000	0.209484	4.688769	4.713597	1.979941	0.040039	2.019980	47.406440
2000	9447.360000	0.211699	4.681241	4.704661	1.960936	0.040020	2.000956	47.272520
3000	14189.200000	0.211428	4.701447	4.717088	1.977553	0.040013	2.017566	47.363813
4000	18968.680000	0.210874	4.720960	4.728915	1.993169	0.040010	2.033179	47.306200
5000	23625.520000	0.211636	4.708134	4.718434	1.983476	0.040008	2.023484	47.374632
6000	28354.400000	0.211607	4.711592	4.718469	1.985065	0.040007	2.025072	47.413840
7000	33293.040000	0.210254	4.744032	4.749853	2.011311	0.040006	2.051317	47.395737
8000	37924.000000	0.210948	4.729896	4.734833	1.991645	0.040005	2.031650	47.415960
9000	42509.720000	0.211716	4.713875	4.718277	1.979132	0.040009	2.019141	47.366004
10000	47262.920000	0.211582	4.717808	4.721890	1.985461	0.040008	2.025469	47.334288
