transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	4305.720000	0.232249	4.218258	4.257980	1.468882	0.040000	1.508882	47.636200
2000	8485.480000	0.235697	4.198999	4.218777	1.433018	0.040000	1.473018	47.541820
3000	12724.560000	0.235765	4.212364	4.224197	1.443360	0.040013	1.483373	47.463907
4000	16859.640000	0.237253	4.193038	4.203900	1.419322	0.040020	1.459342	47.541130
5000	20978.360000	0.238341	4.178172	4.186531	1.413014	0.040016	1.453030	47.638512
6000	25145.520000	0.238611	4.176336	4.184224	1.410829	0.040013	1.450842	47.708533
7000	29207.440000	0.239665	4.159989	4.166352	1.396759	0.040023	1.436782	47.771137
8000	33300.720000	0.240235	4.151649	4.156700	1.390549	0.040020	1.430569	47.721155
9000	37645.760000	0.239071	4.173139	4.177596	1.401634	0.040027	1.441660	47.752093
10000	41899.200000	0.238668	4.181170	4.184602	1.398793	0.040024	1.438817	47.802864
