transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	6376.760000	0.156819	6.290010	6.283708	1.065892	0.040000	1.105892	85.673720
2000	12538.640000	0.159507	6.225913	6.226746	1.039067	0.040000	1.079067	86.280000
3000	18790.960000	0.159651	6.234718	6.234942	1.036058	0.040013	1.076072	86.226173
4000	24960.720000	0.160252	6.218475	6.217608	1.026640	0.040010	1.066650	85.664400
5000	31208.000000	0.160215	6.224237	6.226981	1.018300	0.040008	1.058308	85.676592
6000	37474.160000	0.160110	6.231225	6.232422	1.012027	0.040007	1.052034	85.655640
7000	43778.880000	0.159894	6.241726	6.242602	1.014581	0.040006	1.054586	85.458840
8000	49969.560000	0.160097	6.235344	6.237034	1.007683	0.040010	1.047693	85.380550
9000	56262.800000	0.159964	6.241778	6.242903	1.007275	0.040009	1.047284	85.417342
10000	62411.000000	0.160228	6.232419	6.233368	0.998793	0.040008	1.038801	85.231432
