transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	5287.640000	0.189120	5.224905	5.230059	0.985757	0.040000	1.025757	59.600920
2000	10379.720000	0.192683	5.158459	5.163642	0.976617	0.040000	1.016617	59.728740
3000	15620.080000	0.192060	5.185769	5.187402	0.976141	0.040000	1.016141	60.091787
4000	20832.600000	0.192007	5.192458	5.196089	0.984000	0.040010	1.024010	60.093040
5000	26063.840000	0.191837	5.200216	5.200942	0.990048	0.040008	1.030056	60.101536
6000	31233.200000	0.192103	5.195073	5.197158	0.991879	0.040020	1.031899	60.203153
7000	36565.480000	0.191437	5.214676	5.214982	0.985836	0.040017	1.025853	60.213497
8000	41782.280000	0.191469	5.214942	5.214137	0.984263	0.040015	1.024278	60.244810
9000	46919.520000	0.191818	5.206307	5.206632	0.986227	0.040013	1.026241	60.073476
10000	52155.400000	0.191735	5.209265	5.209677	0.991322	0.040012	1.031334	60.024488
