transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	13502.320000	0.074061	13.442883	13.454716	10.267490	0.040000	10.307490	58.658880
2000	26484.360000	0.075516	13.212346	13.215010	10.011657	0.040000	10.051657	58.963100
3000	39115.360000	0.076696	13.018499	13.011900	9.807186	0.040013	9.847199	59.121093
4000	52646.320000	0.075979	13.146647	13.147799	9.914224	0.040010	9.954234	59.346220
5000	65193.880000	0.076694	13.026805	13.027248	9.791445	0.040008	9.831453	59.292568
6000	78345.200000	0.076584	13.047561	13.045656	9.808653	0.040013	9.848666	59.225487
7000	91137.360000	0.076807	13.011070	13.011039	9.780457	0.040017	9.820474	59.276166
8000	104788.040000	0.076345	13.091031	13.092410	9.859310	0.040015	9.899325	59.232425
9000	118149.800000	0.076174	13.121116	13.120280	9.886424	0.040013	9.926437	59.226227
10000	131368.320000	0.076122	13.130857	13.130532	9.897369	0.040012	9.937381	59.284184
