transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	4244.520000	0.235598	4.192913	4.175276	0.969833	0.040000	1.009833	59.910960
2000	8399.960000	0.238096	4.174167	4.174453	0.965186	0.040020	1.005206	60.028940
3000	12653.880000	0.237081	4.200760	4.196697	0.992931	0.040013	1.032944	59.741707
4000	16862.600000	0.237211	4.202751	4.200867	0.973572	0.040010	1.013582	59.975750
5000	21067.320000	0.237334	4.203145	4.203073	0.977339	0.040008	1.017347	59.886768
6000	25345.840000	0.236725	4.215709	4.216004	0.983999	0.040007	1.024005	60.118333
7000	29604.040000	0.236454	4.221780	4.220864	0.985133	0.040011	1.025144	60.158571
8000	33746.760000	0.237060	4.211896	4.211217	0.981146	0.040010	1.021156	60.247920
9000	37945.560000	0.237182	4.210441	4.208870	0.980355	0.040013	1.020368	60.222649
10000	42203.560000	0.236947	4.215198	4.213735	0.981174	0.040020	1.021194	60.214388
