transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	12113.400000	0.082553	12.067908	12.051423	9.477970	0.040000	9.517970	58.656240
2000	24421.400000	0.081895	12.188014	12.179411	9.593037	0.040000	9.633037	58.824720
3000	36885.560000	0.081333	12.280093	12.270246	9.658177	0.040013	9.698190	59.185147
4000	49971.160000	0.080046	12.481520	12.472991	9.857424	0.040010	9.897434	59.251020
5000	62885.920000	0.079509	12.568186	12.562734	9.946054	0.040008	9.986062	59.308608
6000	75249.520000	0.079735	12.534082	12.527993	9.904060	0.040007	9.944067	59.248140
7000	87936.360000	0.079603	12.555908	12.555739	9.932783	0.040017	9.972800	59.242309
8000	100419.760000	0.079666	12.546843	12.544365	9.917352	0.040020	9.957372	59.225600
9000	112615.760000	0.079918	12.507856	12.506406	9.880791	0.040018	9.920809	59.316733
10000	125748.560000	0.079524	12.570357	12.563341	9.938040	0.040016	9.978056	59.309168
