transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	8556.880000	0.116865	8.429910	8.484369	3.222262	0.040000	3.262262	82.360000
2000	17233.440000	0.116053	8.553297	8.580219	3.266322	0.040000	3.306322	82.000820
3000	26089.120000	0.114990	8.654125	8.667823	3.303038	0.040013	3.343051	82.726987
4000	34974.160000	0.114370	8.711868	8.719681	3.317855	0.040010	3.357865	82.997890
5000	43502.240000	0.114937	8.675103	8.684232	3.292689	0.040008	3.332697	82.908352
6000	52118.240000	0.115123	8.665251	8.673848	3.296063	0.040007	3.336069	82.767000
7000	60948.600000	0.114851	8.688841	8.697908	3.320183	0.040006	3.360188	82.730417
8000	69797.600000	0.114617	8.708864	8.712126	3.319201	0.040005	3.359206	82.836365
9000	78567.760000	0.114551	8.715675	8.722500	3.320702	0.040013	3.360715	82.778938
10000	87181.720000	0.114703	8.705503	8.710855	3.311946	0.040012	3.351958	82.879776
