transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	6689.720000	0.149483	6.576456	6.610762	0.303660	0.040000	0.343660	82.972080
2000	13184.800000	0.151690	6.535748	6.555000	0.287287	0.040000	0.327287	83.406820
3000	19749.320000	0.151904	6.545342	6.548109	0.276537	0.040000	0.316537	83.119640
4000	26281.040000	0.152201	6.541935	6.549838	0.275284	0.040000	0.315284	83.224150
5000	32828.560000	0.152306	6.543053	6.545042	0.270692	0.040000	0.310692	82.894304
6000	39328.040000	0.152563	6.535789	6.541897	0.269812	0.040000	0.309812	82.671673
7000	45794.520000	0.152857	6.525887	6.531106	0.266237	0.040006	0.306243	82.747154
8000	52431.600000	0.152580	6.539787	6.543010	0.265144	0.040005	0.305149	82.917035
9000	59066.920000	0.152370	6.550403	6.554948	0.265998	0.040009	0.306007	82.913498
10000	65761.040000	0.152066	6.564776	6.569912	0.265189	0.040008	0.305197	82.939088
