transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	10453.880000	0.095658	10.309069	10.346283	4.167446	0.040000	4.207446	112.003360
2000	21304.520000	0.093877	10.579990	10.592501	4.372286	0.040000	4.412286	111.076480
3000	31884.000000	0.094091	10.579820	10.590631	4.410312	0.040013	4.450326	110.802880
4000	42734.680000	0.093601	10.647552	10.657950	4.471641	0.040010	4.511651	111.248490
5000	53296.680000	0.093814	10.630438	10.640224	4.455724	0.040008	4.495732	111.049432
6000	64203.440000	0.093453	10.676499	10.683841	4.478429	0.040013	4.518442	111.209100
7000	74776.440000	0.093612	10.661712	10.669635	4.479435	0.040011	4.519446	111.216834
8000	85297.280000	0.093790	10.644101	10.648301	4.467720	0.040010	4.507730	111.061805
9000	95834.720000	0.093912	10.632248	10.631422	4.458174	0.040009	4.498183	111.006844
10000	106302.000000	0.094072	10.615750	10.619838	4.460312	0.040008	4.500320	110.931168
