transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	6580.240000	0.151970	6.465265	6.515635	0.300654	0.040000	0.340654	74.701280
2000	12863.200000	0.155482	6.374067	6.393214	0.281472	0.040020	0.321492	74.710000
3000	19236.680000	0.155952	6.373871	6.380598	0.274358	0.040013	0.314371	75.053587
4000	25378.120000	0.157616	6.315749	6.321156	0.270623	0.040010	0.310633	75.027130
5000	31758.400000	0.157439	6.328658	6.336005	0.268396	0.040016	0.308412	75.193296
6000	38065.280000	0.157624	6.325028	6.330907	0.266121	0.040013	0.306134	75.188607
7000	44433.760000	0.157538	6.331236	6.337318	0.264299	0.040017	0.304316	75.187166
8000	50839.600000	0.157358	6.340563	6.346032	0.263333	0.040015	0.303348	75.110960
9000	57111.280000	0.157587	6.332908	6.337523	0.263198	0.040018	0.303216	75.201502
10000	63516.800000	0.157439	6.340170	6.344032	0.261936	0.040016	0.301952	75.181356
