transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	30476.000000	0.032813	30.365566	30.384351	25.746467	0.040000	25.786467	76.382480
2000	60292.040000	0.033172	30.090665	30.100770	25.504088	0.040020	25.544108	76.486440
3000	90418.840000	0.033179	30.102714	30.108994	25.498281	0.040013	25.538294	76.385840
4000	121488.440000	0.032925	30.344496	30.341129	25.750350	0.040010	25.790360	76.211910
5000	150760.720000	0.033165	30.130010	30.132731	25.547647	0.040008	25.587655	76.160504
6000	181131.160000	0.033125	30.170088	30.163057	25.578098	0.040013	25.618112	76.146300
7000	210605.440000	0.033238	30.070673	30.079183	25.493699	0.040011	25.533710	76.121863
8000	240716.400000	0.033234	30.075709	30.079165	25.507782	0.040010	25.547792	76.176405
9000	269733.760000	0.033366	29.958102	29.960622	25.382522	0.040009	25.422531	76.270902
10000	299160.720000	0.033427	29.904982	29.912497	25.343290	0.040012	25.383302	76.272880
