transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	7419.800000	0.134775	7.317437	7.373055	3.156418	0.040000	3.196418	54.263400
2000	14613.280000	0.136862	7.255428	7.279980	3.043408	0.040020	3.083428	54.023220
3000	22026.680000	0.136198	7.308103	7.328732	3.081478	0.040027	3.121504	54.343280
4000	29430.600000	0.135913	7.332063	7.340813	3.089129	0.040020	3.129149	54.281610
5000	36648.760000	0.136430	7.309278	7.321207	3.073008	0.040016	3.113024	54.345520
6000	43859.080000	0.136802	7.292782	7.302225	3.060140	0.040020	3.100160	54.364220
7000	51339.480000	0.136347	7.319589	7.325961	3.078972	0.040017	3.118990	54.285457
8000	58765.360000	0.136135	7.332877	7.337398	3.091797	0.040015	3.131812	54.393260
9000	66228.440000	0.135893	7.347345	7.353795	3.094772	0.040013	3.134786	54.351378
10000	73662.800000	0.135754	7.356048	7.360644	3.093035	0.040012	3.133047	54.484696
