transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	5763.720000	0.173499	5.674515	5.713009	0.293333	0.040040	0.333373	60.509200
2000	11324.280000	0.176612	5.617509	5.638565	0.278048	0.040040	0.318088	59.516380
3000	17056.080000	0.175890	5.655619	5.661428	0.274529	0.040027	0.314555	59.698920
4000	22649.040000	0.176608	5.639950	5.647643	0.272050	0.040020	0.312070	59.718410
5000	28315.960000	0.176579	5.645345	5.651356	0.268822	0.040024	0.308846	59.617208
6000	33990.400000	0.176520	5.650195	5.655164	0.267121	0.040020	0.307141	59.655600
7000	39609.600000	0.176725	5.645767	5.650050	0.266442	0.040017	0.306459	59.700749
8000	45269.400000	0.176720	5.647521	5.648546	0.265474	0.040020	0.305494	59.809095
9000	51048.600000	0.176303	5.662154	5.666566	0.263948	0.040018	0.303965	59.857307
10000	56659.000000	0.176494	5.656978	5.657765	0.263615	0.040016	0.303631	59.803860
