transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	28995.760000	0.034488	28.869389	28.869801	24.298645	0.040040	24.338685	74.704600
2000	59475.720000	0.033627	29.675078	29.656818	25.064259	0.040020	25.104279	74.790700
3000	88974.080000	0.033718	29.616152	29.638707	25.106418	0.040013	25.146431	74.816507
4000	118567.520000	0.033736	29.610473	29.612111	25.082448	0.040010	25.122458	74.923000
5000	147732.480000	0.033845	29.521352	29.521487	25.007370	0.040008	25.047378	74.974712
6000	176532.680000	0.033988	29.401140	29.409050	24.885065	0.040007	24.925072	74.917407
7000	206307.920000	0.033930	29.454591	29.462114	24.945930	0.040006	24.985935	74.953657
8000	236991.760000	0.033756	29.608266	29.615566	25.103319	0.040010	25.143329	74.913365
9000	266659.160000	0.033751	29.614837	29.613167	25.107327	0.040009	25.147336	74.846244
10000	295255.160000	0.033869	29.512943	29.517292	25.010479	0.040008	25.050487	74.920680
