transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	10144.400000	0.098577	10.029029	10.074235	4.736246	0.040000	4.776246	85.848600
2000	19944.800000	0.100277	9.914657	9.938564	4.551665	0.040000	4.591665	85.840600
3000	29790.360000	0.100704	9.891617	9.892784	4.505488	0.040000	4.545488	85.755573
4000	39476.480000	0.101326	9.840230	9.844161	4.446075	0.040000	4.486075	86.192840
5000	49215.040000	0.101595	9.819892	9.823949	4.441421	0.040000	4.481421	86.027256
6000	58904.160000	0.101860	9.798093	9.799847	4.420772	0.040000	4.460772	86.004467
7000	68761.760000	0.101801	9.806595	9.811853	4.437585	0.040000	4.477585	85.946577
8000	78404.640000	0.102035	9.786128	9.788422	4.410648	0.040005	4.450653	85.734150
9000	88468.280000	0.101731	9.816966	9.817936	4.439574	0.040004	4.479578	85.697129
10000	98217.200000	0.101815	9.810161	9.812662	4.425649	0.040004	4.465653	85.648496
