transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	7799.520000	0.128213	7.673233	7.743476	3.376468	0.040000	3.416468	56.457080
2000	15582.360000	0.128350	7.728064	7.759602	3.329398	0.040000	3.369398	56.552220
3000	23019.080000	0.130327	7.630917	7.652194	3.249441	0.040000	3.289441	56.395187
4000	30462.040000	0.131311	7.583916	7.603375	3.221492	0.040000	3.261492	56.254420
5000	38052.800000	0.131396	7.585285	7.599233	3.213781	0.040000	3.253781	56.263600
6000	45558.400000	0.131699	7.572002	7.584942	3.184019	0.040000	3.224019	56.306207
7000	53042.760000	0.131969	7.559480	7.572330	3.184348	0.040000	3.224348	56.354183
8000	60526.320000	0.132174	7.549989	7.557493	3.170365	0.040000	3.210365	56.354500
9000	68140.920000	0.132079	7.557169	7.563068	3.184611	0.040000	3.224611	56.311609
10000	75477.920000	0.132489	7.535150	7.542039	3.170569	0.040000	3.210569	56.333684
