transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	6530.640000	0.153124	6.366086	6.406601	1.426575	0.040000	1.466575	111.481920
2000	13042.720000	0.153342	6.439120	6.461070	1.409772	0.040000	1.449772	112.528680
3000	19473.480000	0.154056	6.436332	6.457446	1.389416	0.040000	1.429612	112.557093
4000	25823.280000	0.154899	6.414694	6.425485	1.362518	0.040010	1.402528	112.622510
5000	32329.160000	0.154659	6.432935	6.448540	1.377068	0.040008	1.417076	112.496008
6000	38867.320000	0.154371	6.450475	6.460007	1.381223	0.040007	1.421230	112.325407
7000	45252.200000	0.154689	6.441103	6.448518	1.371424	0.040006	1.411429	112.408051
8000	51751.800000	0.154584	6.448416	6.455140	1.375821	0.040005	1.415826	112.334415
9000	58165.480000	0.154731	6.444556	6.451439	1.372551	0.040004	1.412555	112.350120
10000	64730.800000	0.154486	6.456634	6.460998	1.371284	0.040004	1.411288	112.510628
