transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	25553.240000	0.039134	25.413774	25.307631	1.010535	0.040000	1.050535	163.933360
2000	51315.720000	0.038974	25.588214	25.579890	1.017966	0.040000	1.057966	163.340580
3000	77414.840000	0.038752	25.758573	25.760226	1.000972	0.040000	1.040972	163.128000
4000	102820.720000	0.038903	25.670378	25.688656	1.002358	0.040000	1.042358	162.874080
5000	129259.960000	0.038682	25.824181	25.828647	0.991958	0.040000	1.031958	162.715360
6000	156632.320000	0.038306	26.082254	26.078541	0.979410	0.040000	1.019410	163.110373
7000	181930.720000	0.038476	25.970259	25.966516	0.976303	0.040000	1.016303	163.743314
8000	207876.520000	0.038484	25.967201	25.963238	0.969798	0.040000	1.009798	163.210540
9000	233343.520000	0.038570	25.911617	25.903067	0.971532	0.040000	1.011532	163.415889
10000	259895.640000	0.038477	25.975674	25.965987	0.967533	0.040008	1.007541	163.708668
