transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	60253.120000	0.016597	60.182342	60.200400	20.420100	0.040000	20.460100	102.785840
2000	125994.920000	0.015874	62.963462	62.940130	21.087336	0.040000	21.127336	102.382460
3000	190587.040000	0.015741	63.506529	63.502120	21.342739	0.040000	21.382739	102.396520
4000	255398.800000	0.015662	63.832918	63.825090	21.383564	0.040000	21.423564	102.572260
5000	317878.880000	0.015729	63.562296	63.530658	21.234452	0.040000	21.274452	102.516992
6000	381542.440000	0.015726	63.579177	63.565372	21.275922	0.040007	21.315929	102.290913
7000	443872.960000	0.015770	63.400772	63.394863	21.205742	0.040017	21.245759	102.450263
8000	507276.080000	0.015771	63.401065	63.401660	21.134028	0.040020	21.174048	102.314010
9000	572481.280000	0.015721	63.601547	63.597080	21.136958	0.040022	21.176980	102.356947
10000	634758.240000	0.015754	63.469075	63.468144	21.143354	0.040020	21.183374	102.414524
