transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	7369.360000	0.135697	7.265706	7.244567	0.946942	0.040039	0.986981	126.121720
2000	14741.560000	0.135671	7.318979	7.310928	0.948333	0.040020	0.988353	127.912520
3000	22110.960000	0.135679	7.335792	7.325409	0.946932	0.040013	0.986945	127.222520
4000	29377.880000	0.136157	7.318570	7.313665	0.960030	0.040030	1.000060	127.746780
5000	36879.760000	0.135576	7.355239	7.355523	0.967285	0.040024	1.007309	127.837648
6000	44142.120000	0.135925	7.339757	7.331781	0.972164	0.040020	1.012184	127.177593
7000	51628.480000	0.135584	7.360703	7.359567	0.973383	0.040023	1.013406	127.402440
8000	58957.120000	0.135692	7.356695	7.356571	0.976661	0.040025	1.016686	126.980830
9000	66349.080000	0.135646	7.360613	7.357604	0.980406	0.040022	1.020428	127.019191
10000	73792.160000	0.135516	7.368861	7.367609	0.975021	0.040024	1.015045	127.202488
