transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	70664.440000	0.014151	70.554675	70.560760	67.066640	0.040000	67.106640	100.451800
2000	143694.400000	0.013918	71.792936	71.803398	68.363018	0.040000	68.403018	99.525800
3000	213001.640000	0.014084	70.964095	70.925981	67.449670	0.040013	67.489684	99.952440
4000	283509.720000	0.014109	70.850063	70.854330	67.345150	0.040010	67.385160	100.203520
5000	355895.560000	0.014049	71.157279	71.153337	67.633809	0.040016	67.673825	100.441480
6000	431269.720000	0.013912	71.860210	71.861680	68.343480	0.040013	68.383493	100.395787
7000	502732.240000	0.013924	71.803389	71.793973	68.273236	0.040011	68.313248	100.459217
8000	578699.200000	0.013824	72.323900	72.292177	68.774746	0.040015	68.814761	100.360100
9000	648879.160000	0.013870	72.085658	72.073198	68.555917	0.040013	68.595930	100.262644
10000	718961.640000	0.013909	71.885321	71.880168	68.364696	0.040012	68.404708	100.295248
