transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	40977.440000	0.024404	40.886406	40.914400	37.642760	0.040000	37.682760	65.954720
2000	83636.880000	0.023913	41.773367	41.782709	38.486117	0.040000	38.526117	65.904760
3000	129071.240000	0.023243	42.994105	43.007078	39.675588	0.040000	39.715588	66.077347
4000	174934.080000	0.022866	43.711468	43.704678	40.366687	0.040010	40.406697	65.819840
5000	218358.160000	0.022898	43.653979	43.661644	40.317225	0.040008	40.357233	66.011336
6000	260341.360000	0.023047	43.375469	43.379050	40.033461	0.040007	40.073468	65.962587
7000	302530.560000	0.023138	43.205978	43.211120	39.863046	0.040011	39.903057	65.962383
8000	345674.960000	0.023143	43.198280	43.194911	39.851812	0.040010	39.891822	65.877950
9000	388787.160000	0.023149	43.188714	43.181944	39.845985	0.040013	39.885998	65.885569
10000	432473.360000	0.023123	43.238468	43.236741	39.897329	0.040012	39.937341	65.915988
