transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	7172.520000	0.139421	7.049690	7.037370	0.949323	0.040000	0.989323	139.511840
2000	14083.640000	0.142009	6.980370	6.973657	0.941991	0.040000	0.981991	138.289900
3000	21126.000000	0.142005	7.001040	6.996105	0.945762	0.040000	0.985762	138.343080
4000	28027.800000	0.142715	6.976224	6.972720	0.957035	0.040000	0.997035	137.502010
5000	35146.560000	0.142261	7.004737	7.005071	0.967365	0.040008	1.007373	137.695632
6000	42170.680000	0.142279	7.007968	7.006002	0.976461	0.040007	1.016468	137.872673
7000	49285.160000	0.142031	7.023186	7.023178	0.977600	0.040006	1.017606	138.029857
8000	56394.560000	0.141858	7.033964	7.029733	0.978412	0.040015	1.018427	138.003060
9000	63354.560000	0.142058	7.025745	7.023313	0.979173	0.040018	1.019191	137.953622
10000	70406.880000	0.142032	7.028403	7.027822	0.984318	0.040016	1.024334	137.717652
