transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	22788.920000	0.043881	22.731852	22.709182	0.389232	0.040000	0.429232	63.239320
2000	45249.720000	0.044199	22.596258	22.594497	0.393160	0.040000	0.433160	63.228000
3000	68115.120000	0.044043	22.686002	22.684747	0.383685	0.040000	0.423685	63.108960
4000	91974.840000	0.043490	22.979505	22.975112	0.381274	0.040000	0.421274	63.127360
5000	115154.080000	0.043420	23.019460	23.017161	0.381923	0.040000	0.421923	63.160304
6000	138019.600000	0.043472	22.993799	22.989019	0.382265	0.040007	0.422272	63.231973
7000	160744.720000	0.043547	22.955411	22.947619	0.387883	0.040006	0.427889	63.205937
8000	184696.040000	0.043314	23.079915	23.079665	0.387548	0.040005	0.427553	63.204195
9000	207256.320000	0.043424	23.022171	23.018083	0.385549	0.040004	0.425553	63.219813
10000	230575.320000	0.043370	23.051857	23.047494	0.386685	0.040004	0.426689	63.208972
