transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	4698.720000	0.212824	4.609890	4.636561	1.155696	0.040039	1.195735	64.665920
2000	9250.920000	0.216195	4.581031	4.596143	1.132008	0.040040	1.172048	64.892080
3000	13828.600000	0.216942	4.579913	4.589439	1.133001	0.040027	1.173028	64.895627
4000	18422.880000	0.217121	4.583506	4.591633	1.137866	0.040050	1.177916	64.892580
5000	23024.600000	0.217159	4.587149	4.593017	1.142155	0.040040	1.182195	64.917216
6000	27588.520000	0.217482	4.583277	4.587725	1.143689	0.040033	1.183722	64.860393
7000	32062.840000	0.218321	4.567710	4.571168	1.137508	0.040029	1.177536	64.630320
8000	36650.040000	0.218281	4.570146	4.573585	1.138680	0.040025	1.178705	64.501085
9000	41268.240000	0.218085	4.575486	4.579354	1.135291	0.040022	1.175313	64.628080
10000	45865.760000	0.218028	4.577690	4.580539	1.138116	0.040024	1.178140	64.542496
