transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	45959.760000	0.021758	45.957117	45.858922	42.323593	0.040000	42.363593	44.276200
2000	90338.080000	0.022139	45.167324	45.149120	41.540440	0.040000	41.580440	44.246460
3000	135458.680000	0.022147	45.151744	45.121932	41.503225	0.040013	41.543238	44.255520
4000	179230.240000	0.022318	44.806612	44.788663	41.134296	0.040010	41.174306	44.261720
5000	225174.680000	0.022205	45.034223	45.023835	41.359896	0.040008	41.399904	44.239664
6000	269013.840000	0.022304	44.835013	44.823396	41.177517	0.040007	41.217524	44.221887
7000	313891.560000	0.022301	44.841114	44.836137	41.198103	0.040006	41.238109	44.229469
8000	358258.640000	0.022330	44.781853	44.768588	41.128898	0.040005	41.168903	44.227840
9000	401674.600000	0.022406	44.630070	44.625933	40.988240	0.040004	41.028244	44.228400
10000	444610.440000	0.022492	44.460630	44.455138	40.814595	0.040008	40.854603	44.231920
