transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	43938.280000	0.022759	43.861622	43.850190	1.012535	0.040040	1.052575	87.760240
2000	89201.640000	0.022421	44.562841	44.546707	0.997702	0.040040	1.037742	87.799800
3000	134405.440000	0.022321	44.776566	44.772311	0.988693	0.040027	1.028720	87.850533
4000	179725.120000	0.022256	44.912378	44.909563	1.002099	0.040020	1.042119	87.847380
5000	222885.920000	0.022433	44.561992	44.543519	0.999520	0.040032	1.039552	87.714128
6000	268154.800000	0.022375	44.679827	44.673768	0.992256	0.040027	1.032283	87.545440
7000	311649.960000	0.022461	44.510564	44.500751	0.994573	0.040023	1.034596	87.486354
8000	357228.240000	0.022395	44.644046	44.638520	0.996565	0.040025	1.036590	87.586685
9000	401460.520000	0.022418	44.598289	44.597151	0.994064	0.040027	1.034090	87.596951
10000	446305.600000	0.022406	44.622970	44.622254	0.993057	0.040024	1.033081	87.548136
