transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	55852.600000	0.017904	55.720841	55.776240	41.924400	0.040000	41.964400	87.732600
2000	109352.880000	0.018289	54.610005	54.618771	41.281419	0.040020	41.321439	87.727420
3000	165093.880000	0.018171	54.987129	54.982318	41.538854	0.040027	41.578881	87.835253
4000	220012.600000	0.018181	54.970023	54.986280	41.464030	0.040020	41.504050	87.916050
5000	273360.080000	0.018291	54.645449	54.652198	41.047429	0.040016	41.087445	87.893304
6000	328137.960000	0.018285	54.667525	54.668064	41.042079	0.040013	41.082092	88.034940
7000	384377.640000	0.018211	54.892150	54.901006	41.342423	0.040011	41.382434	88.050989
8000	439237.200000	0.018213	54.888076	54.887118	41.260910	0.040010	41.300920	88.106220
9000	493949.800000	0.018220	54.868577	54.875498	41.235725	0.040013	41.275738	88.113982
10000	547736.920000	0.018257	54.760420	54.768796	41.138352	0.040016	41.178368	88.149324
