transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	5304.840000	0.188507	5.226266	5.222959	0.953261	0.040039	0.993300	86.709640
2000	10459.160000	0.191220	5.190275	5.188903	0.954603	0.040020	0.994623	85.655660
3000	15538.400000	0.193070	5.153251	5.153948	0.947171	0.040013	0.987184	85.106800
4000	20714.400000	0.193102	5.158940	5.162343	0.966569	0.040010	1.006579	85.070820
5000	26017.720000	0.192177	5.187822	5.184759	0.971787	0.040008	1.011909	85.472200
6000	31203.480000	0.192286	5.187478	5.189987	0.964191	0.040007	1.004198	85.555187
7000	36490.720000	0.191830	5.201732	5.200787	0.964310	0.040006	1.004315	85.380806
8000	41878.600000	0.191028	5.225003	5.223555	0.969858	0.040010	1.009868	85.582905
9000	46951.040000	0.191689	5.208050	5.207391	0.964849	0.040013	1.004862	85.453493
10000	52172.360000	0.191672	5.209377	5.208334	0.962831	0.040020	1.002851	85.496424
