transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	4658.000000	0.214684	4.571251	4.578328	0.385737	0.040039	0.425776	84.923360
2000	9258.320000	0.216022	4.585793	4.584032	0.385050	0.040040	0.425089	85.083460
3000	13822.200000	0.217042	4.578486	4.579940	0.379589	0.040027	0.419616	85.160493
4000	18573.400000	0.215362	4.621675	4.624253	0.384824	0.040020	0.424844	85.597090
5000	23267.680000	0.214890	4.636199	4.634367	0.388711	0.040016	0.428727	85.636920
6000	27893.320000	0.215105	4.634439	4.635419	0.389636	0.040013	0.429649	85.661360
7000	32452.480000	0.215700	4.623683	4.624660	0.389773	0.040011	0.429785	85.579137
8000	37035.320000	0.216010	4.618577	4.618885	0.389484	0.040010	0.429494	85.463315
9000	41715.280000	0.215748	4.625398	4.625036	0.388461	0.040013	0.428475	85.525907
10000	46343.280000	0.215781	4.625659	4.626287	0.388080	0.040012	0.428092	85.534268
