transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	7571.360000	0.132077	7.518959	7.488277	0.945109	0.040000	0.985109	59.463560
2000	14786.440000	0.135259	7.366943	7.365845	0.963170	0.040000	1.003170	59.598840
3000	22080.240000	0.135868	7.342554	7.341570	0.963485	0.040013	1.003499	59.526587
4000	29338.280000	0.136341	7.321420	7.317096	0.973599	0.040010	1.013609	59.426610
5000	36426.600000	0.137262	7.274791	7.273593	0.970072	0.040008	1.010080	59.368176
6000	43419.240000	0.138188	7.227758	7.225466	0.972508	0.040007	1.012515	59.253013
7000	50540.680000	0.138502	7.212568	7.209074	0.968673	0.040006	1.008679	59.290817
8000	57731.240000	0.138573	7.209816	7.209057	0.968691	0.040005	1.008696	59.339290
9000	64762.280000	0.138970	7.189950	7.188946	0.970324	0.040009	1.010333	59.438391
10000	72098.640000	0.138699	7.204592	7.204061	0.975052	0.040008	1.015060	59.435320
