transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	5255.160000	0.190289	5.195756	5.192292	2.007668	0.040000	2.047668	59.616480
2000	10355.600000	0.193132	5.148074	5.146183	1.956402	0.040020	1.996421	59.834600
3000	15611.720000	0.192163	5.184101	5.184213	1.963003	0.040013	2.003017	59.692067
4000	20786.400000	0.192434	5.181745	5.183571	1.966185	0.040010	2.006195	59.569570
5000	25997.560000	0.192326	5.187630	5.188040	1.964734	0.040008	2.004742	59.615784
6000	31240.160000	0.192060	5.196793	5.195057	1.989112	0.040007	2.029119	59.557973
7000	36541.160000	0.191565	5.211682	5.210936	1.995294	0.040006	2.035299	59.701800
8000	41804.160000	0.191369	5.218097	5.216987	2.003175	0.040005	2.043180	59.654505
9000	47007.200000	0.191460	5.216424	5.215404	1.999339	0.040009	2.039348	59.608271
10000	52210.000000	0.191534	5.215062	5.214539	1.998734	0.040008	2.038742	59.674720
