transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	13846.320000	0.072221	13.679600	13.747488	3.523059	0.040000	3.563059	143.865640
2000	26975.880000	0.074140	13.404442	13.424669	3.439980	0.040000	3.479980	141.936400
3000	40012.480000	0.074977	13.281787	13.300858	3.371915	0.040000	3.411915	141.245067
4000	52828.200000	0.075717	13.165241	13.170232	3.301331	0.040010	3.341341	141.612420
5000	66471.920000	0.075220	13.260956	13.270098	3.302591	0.040008	3.342599	142.035552
6000	80217.440000	0.074797	13.341730	13.353554	3.336831	0.040007	3.376838	142.012080
7000	93449.440000	0.074907	13.326052	13.327953	3.341101	0.040006	3.381107	141.484811
8000	106177.280000	0.075346	13.251266	13.256871	3.325734	0.040005	3.365739	140.994570
9000	119449.040000	0.075346	13.253544	13.259112	3.326389	0.040004	3.366394	141.089182
10000	132919.160000	0.075234	13.275204	13.278326	3.317906	0.040004	3.357910	141.736684
